"geneID" "annotation"
"ostta04g02640" " Acyl-CoA N-acyltransferase"
"ostta04g02740" " P-loop containing nucleoside triphosphate hydrolase"
"ostta04g03390" " Immunoglobulin-like fold"
"ostta04g03530" " Gamma tubulin complex protein 3"
"ostta04g03730" " Prenylated rab acceptor PRA1"
"ostta04g04000" " Pyruvate phosphate dikinase, PEP/pyruvate-binding"
"ostta04g04350" " P-loop containing nucleoside triphosphate hydrolase"
"ostta04g04900" " Initiator tRNA phosphoribosyl transferase"
"ostta04g05380" " AMP-dependent synthetase/ligase"
"ostta05g00210" " CRAL-TRIO domain"
"ostta05g00780" " unnamed product"
"ostta05g01370" " Cold-shock protein, DNA-binding"
"ostta05g01610" " unnamed product"
"ostta05g01730" " unnamed product"
"ostta05g01850" " Ubiquitin-conjugating enzyme, active site"
"ostta05g02100" " WD40 repeat"
"ostta05g02190" " Zinc finger, GATA-type"
"ostta05g02270" " WD40/YVTN repeat-like-containing domain"
"ostta05g02520" " Nucleotide-sugar transporter"
"ostta05g02550" " Myristoyl-CoA:protein N-myristoyltransferase, C-terminal"
"ostta05g02920" " Sad1/UNC-like, C-terminal"
"ostta05g02930" " RNA helicase, ATP-dependent, DEAD-box, conserved site"
"ostta05g03240" " unnamed product"
"ostta05g03330" " Telomeric single stranded DNA binding POT1/Cdc13"
"ostta05g03730" " Protein-tyrosine phosphatase-like, PTPLA"
"ostta05g04540" " unnamed product"
"ostta05g04670" " TMPIT-like"
"ostta05g04830" " unnamed product"
"ostta06g00210" " Tetracycline resistance protein, TetA/multidrug resistance protein MdtG"
"ostta06g00610" " WD40/YVTN repeat-like-containing domain"
"ostta06g00890" " SET domain"
"ostta06g01140" " unnamed product"
"ostta06g01500" " PH-BEACH domain"
"ostta06g01570" " DnaJ domain"
"ostta06g01880" " Carbohydrate binding module family 20"
"ostta06g02250" " Quinonprotein alcohol dehydrogenase-like superfamily"
"ostta06g02430" " Exocyst complex component Sec6"
"ostta06g02750" " Nucleotide-binding, alpha-beta plait"
"ostta06g03200" " Patatin/Phospholipase A2-related"
"ostta06g03325" " DNA topoisomerase, type IA, central region, subdomain 2"
"ostta06g03440" " Phospholipid-transporting  P-type ATPase, subfamily IV"
"ostta06g03470" " unnamed product"
"ostta06g03550" " Tubulin binding cofactor C-like domain"
"ostta06g03630" " Helicase, C-terminal"
"ostta07g00150" " Ham1-like protein"
"ostta07g00210" " G-patch domain"
"ostta07g00740" " P-loop containing nucleoside triphosphate hydrolase"
"ostta07g00840" " Endonuclease/exonuclease/phosphatase"
"ostta07g01060" " unnamed product"
"ostta07g01290" " unnamed product"
"ostta07g01350" " ATPase, F1 complex, OSCP/delta subunit"
"ostta07g01490" " Prenylated rab acceptor PRA1"
"ostta07g01610" " Cell division protein FtsZ, C-terminal"
"ostta07g01980" " RAVE complex protein Rav1 C-terminal"
"ostta07g02570" " Structural maintenance of chromosomes protein 6"
"ostta07g03410" " Zinc finger, GATA-type"
"ostta07g03510" " PIK-related kinase, FATC"
"ostta07g03830" " Nuclear protein DGCR14"
"ostta07g04140" " ATPase, V1 complex, subunit C"
"ostta07g04510" " Phosphatidate cytidylyltransferase"
"ostta08g00230" " Bestrophin/UPF0187"
"ostta08g00330" " Serine/threonine-specific protein phosphatase/bis5-nucleosyl-tetraphosphatase"
"ostta08g00420" " Tetratricopeptide repeat"
"ostta08g00790" " Spc97/Spc98"
"ostta08g00820" " Serine/threonine- / dual specificity protein kinase, catalytic  domain"
"ostta08g00840" " Acyl-CoA dehydrogenase/oxidase C-terminal"
"ostta08g00970" " unnamed product"
"ostta08g01080" " LETM1-like"
"ostta08g01500" " DnaJ domain"
"ostta08g01770" " Gamma interferon inducible lysosomal thiol reductase GILT"
"ostta08g02360" " HAD-superfamily hydrolase, subfamily IIA"
"ostta08g03990" " SNF2-related"
"ostta09g00110" " Thioredoxin-like fold"
"ostta09g00140" " unnamed product"
"ostta09g00210" " hypothetical protein n/a  unnamed product"
"ostta09g00975" " hypothetical protein"
"ostta09g01160" " unnamed product"
"ostta09g01220" " unnamed product"
"ostta09g01615" " ABC-2 type transporter"
"ostta09g01760" " Restriction endonuclease  type II-like"
"ostta09g02470" " Rad1/Rec1/Rad17"
"ostta09g02720" " Magnesium transporter MRS2/LPE10"
"ostta09g03280" " Major facilitator superfamily domain, general substrate transporter"
"ostta09g03570" " Beta-lactamase-like"
"ostta09g04210" " Pleckstrin homology-like domain"
"ostta10g00870" " Glycosyltransferase, DXD sugar-binding motif"
"ostta10g01220" " unnamed product"
"ostta10g01710" " unnamed product"
"ostta10g01980" " Fatty acid hydroxylase"
"ostta10g02040" " Short-chain dehydrogenase/reductase SDR"
"ostta10g02190" " Aldehyde dehydrogenase, C-terminal"
"ostta10g02200" " Pyridoxal phosphate-dependent transferase, major region, subdomain 1"
"ostta10g02440" " Zinc finger, RING/FYVE/PHD-type"
"ostta10g03130" " Glycoside hydrolase, catalytic domain"
"ostta10g03185" " hypothetical protein"
"ostta10g03430" " NAD-dependent epimerase/dehydratase"
"ostta10g03480" " Oxoglutarate/iron-dependent dioxygenase"
"ostta11g00840" " RmlC-like jelly roll fold"
"ostta11g01160" " Phosphatidyl serine synthase"
"ostta11g01240" " Protein of unknown function DUF926"
"ostta11g01690" " DNA-repair protein, UmuC-like, N-terminal"
"ostta11g01930" " Aspartyl/Glutamyl-tRNAGln amidotransferase, subunit B/E, catalytic"
"ostta11g02650" " Uncharacterised protein family UPF0016"
"ostta11g02750" " CAAX amino terminal protease"
"ostta11g02930" " DNA repair protein XRCC4, C-terminal"
"ostta12g00500" " Serine/threonine-protein kinase, active site"
"ostta12g00660" " unnamed product"
"ostta12g00790" " Haem oxygenase-like, multi-helical"
"ostta12g01300" " unnamed product"
"ostta12g01480" " hypothetical protein n/a  unnamed product"
"ostta12g01680" " F-box domain"
"ostta12g01690" " unnamed product"
"ostta12g02930" " Domain of unknown function DUF4206"
"ostta12g03060" " Cysteine synthase K/M"
"ostta13g00980" " unnamed product"
"ostta13g00990" " Cation/H+ exchanger"
"ostta13g01375" " hypothetical protein"
"ostta13g01380" " Mss4-like"
"ostta13g01870" " Xylose isomerase"
"ostta13g02480" " unnamed product"
"ostta14g00050" " Lipase, class 3 n/a  Lipase, class 3"
"ostta14g00075" "  n/a  hypothetical protein"
"ostta14g00520" " Peptide methionine sulphoxide reductase MsrA n/a  Peptide methionine sulphoxide"
"ostta14g00630" " Thioredoxin-like fold"
"ostta14g01157" "  n/a  hypothetical protein"
"ostta14g01160" " Domain of unknown function DUF1747"
"ostta14g01350" " G-protein beta WD-40 repeat n/a  G-protein beta WD-40 repeat"
"ostta14g01450" " NAD-dependent DNA ligase, N-terminal"
"ostta14g01470" " unnamed product"
"ostta14g01550" " Transcription factor CBF/NF-Y/archaeal histone n/a  Transcription factor CBF/NFtone"
"ostta14g01650" " EGF-like, conserved site"
"ostta14g02345" " Zinc finger, RING/FYVE/PHD-type n/a  Zinc finger, RING/FYVE/PHD-type"
"ostta15g00340" " unnamed product"
"ostta15g00910" " unnamed product"
"ostta15g01150" " unnamed product"
"ostta15g02410" " Tubulin binding cofactor C"
"ostta15g02460" " Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase   Typterase/nucleotide pyrophosphatase/phosphate transferase   Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase   Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase n/a  Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase n/a  Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase n/a  Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transfer"
"ostta15g02670" " Photosystem I PsaD"
"ostta15g02900" " Glycine cleavage H-protein, subgroup n/a  Glycine cleavage H-protein, subgroup"
"ostta16g00630" " UV radiation resistance protein/autophagy-related protein 14"
"ostta16g00960" " Patatin/Phospholipase A2-related"
"ostta16g01110" " Protein of unknown function DUF3067"
"ostta16g01860" " DNA polymerase beta-like, N-terminal domain"
"ostta16g02060" " snRNA-activating protein complex, subunit 3"
"ostta16g02310" " Chlorophyll A-B binding protein, plant"
"ostta16g02570" " C2 calcium-dependent membrane targeting n/a  C2 calcium-dependent membrane targ"
"ostta16g02590" " NADH:ubiquinone oxidoreductase intermediate-associated protein 30"
"ostta17g00620" " SET domain"
"ostta17g02080" " Patatin/Phospholipase A2-related n/a  Patatin/Phospholipase A2-related"
"ostta17g02120" " Beta-lactamase-like"
"ostta17g02130" " Aldo/keto reductase, conserved site n/a  Aldo/keto reductase, conserved site"
"ostta17g02320" " P-loop containing nucleoside triphosphate hydrolase"
"ostta18g00140" " CWC16 protein n/a  CWC16 protein"
"ostta18g00210" " Post-SET domain n/a  Post-SET domain"
"ostta18g00555" " Male sterility, NAD-binding n/a  Male sterility, NAD-binding"
"ostta18g01190" " Acyl-CoA N-acyltransferase"
"ostta18g01250" " Ferredoxin-NADP+ reductase n/a  Ferredoxin-NADP+ reductase"
"ostta18g01550" " NmrA-like"
"ostta18g01640" " Mitochondrial substrate/solute carrier"
"ostta18g01920" " unnamed product"
"ostta20g00010" " Ankyrin repeat"
"ostta20g00050" " Thioredoxin-like fold"
"ostta20g00440" " Superoxide dismutase Cu/Zn / superoxide dismutase copper chaperone"
