"geneID" "annotation"
"ostta02g00085" " hypothetical protein"
"ostta02g00580" " Photosystem I PsaL, reaction centre subunit XI"
"ostta02g00720" " Thiolase-like, subgroup"
"ostta02g00730" " Thioredoxin-like fold"
"ostta02g00870" " Oxoglutarate/iron-dependent dioxygenase"
"ostta02g00920" " P-type ATPase, phosphorylation site"
"ostta02g01170" " Transcription factor TFIIH subunit p52/Tfb2"
"ostta02g01520" " Tubulin/FtsZ, 2-layer sandwich domain"
"ostta02g01860" " HEAT repeat associated with sister chromatid cohesion protein"
"ostta02g02320" " Photosystem II PsbW, class 2"
"ostta02g02380" " Magnesium chelatase, ATPase subunit I"
"ostta02g02400" " ATPase, V0 complex, subunit d"
"ostta02g02470" " Pre-mRNA polyadenylation factor Fip1"
"ostta02g02560" " Photosystem II PsbX"
"ostta02g02610" " Integrase, catalytic core"
"ostta02g03330" " Chlorophyll A-B binding protein, plant"
"ostta02g03360" " Glycoside hydrolase, catalytic domain"
"ostta02g03440" " Zinc finger, GATA-type"
"ostta02g03600" " Bacterial surface protein 26-residue repeat"
"ostta02g03670" " SNF2-related"
"ostta02g03860" " Photosystem I PsaE, reaction centre subunit IV"
"ostta02g04570" " Glycoside hydrolase, catalytic domain"
"ostta02g04700" " Plastid lipid-associated protein/fibrillin conserved domain"
"ostta02g04740" " Lipopolysaccharide-modifying protein"
"ostta02g04810" " Glycoside hydrolase, catalytic domain"
"ostta02g04980" " Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta02g05140" " Nucleotide sugar epimerase"
"ostta02g05150" " unnamed product"
"ostta02g05170" " Protein of unknown function DUF3464"
"ostta02g05340" " unnamed product"
"ostta02g05350" " Phosphatidylinositol-4-phosphate 5-kinase, core"
"ostta02g05430" " unnamed product"
"ostta02g05500" " unnamed product"
"ostta02g05510" " Fatty acid desaturase, type 1"
"ostta03g00090" " Uncharacterised protein family Ycf49"
"ostta03g00140" " Oxysterol-binding protein"
"ostta03g00190" " Bile acid:sodium symporter"
"ostta03g01100" " Zinc finger, GATA-type"
"ostta03g01310" " unnamed product"
"ostta03g01330" " unnamed product"
"ostta03g01760" " unnamed product"
"ostta03g01970" " Major facilitator superfamily domain, general substrate transporter"
"ostta03g01980" " unnamed product"
"ostta03g02050" " Thioredoxin-like fold"
"ostta03g02090" " Major royal jelly-related"
"ostta03g02270" " Cyclin C"
"ostta03g02970" " Vacuolar H+-ATPase G subunit"
"ostta03g02980" " Myb domain, plants"
"ostta03g03040" " Fatty acid desaturase, type 1"
"ostta03g03120" " Basic-leucine zipper domain"
"ostta03g03150" "' 3''5''-cyclic nucleotide phosphodiesterase, conserved site'"
"ostta03g03160" " Coproporphyrinogen III oxidase, conserved site"
"ostta03g03210" " Permease, cytosine/purines, uracil, thiamine, allantoin"
"ostta03g03320" " unnamed product"
"ostta03g03900" " Carotenoid oxygenase"
"ostta03g03940" " Nucleotide-binding, alpha-beta plait"
"ostta03g04110" " unnamed product"
"ostta03g04540" " Chlorophyll A-B binding protein, plant"
"ostta03g04550" " Chlorophyll A-B binding protein, plant"
"ostta03g04650" " Ovarian tumour, otubain"
"ostta03g04860" " P-loop containing nucleoside triphosphate hydrolase"
"ostta03g04920" " Chlorophyll A-B binding protein, plant"
"ostta03g05270" " unnamed product"
"ostta03g05360" " unnamed product"
"ostta03g05420" " Serine/threonine-protein kinase, active site"
"ostta04g00070" " Rieske [2Fe-2S] iron-sulphur domain"
"ostta04g00130" " PDZ domain"
"ostta04g00290" " Dimeric alpha-beta barrel"
"ostta04g00330" " K Homology domain, type 1"
"ostta04g00350" " IQ motif, EF-hand binding site"
"ostta04g00360" " unnamed product"
"ostta04g00370" " Ankyrin repeat"
"ostta04g00590" " Surfeit locus 1/Shy1"
"ostta04g01630" " unnamed product"
"ostta04g01640" " unnamed product"
"ostta04g01790" " Photosystem I PsaF, reaction centre subunit III"
"ostta04g02000" " Peptidase M20, dimerisation domain"
"ostta04g02080" " Squalene/phytoene synthase"
"ostta04g02090" " Magnesium chelatase, subunit H, N-terminal"
"ostta04g02490" " Sodium/sulphate symporter"
"ostta04g02720" " Epoxide hydrolase-like"
"ostta04g03500" " Nucleotide-binding, alpha-beta plait"
"ostta04g03570" " unnamed product"
"ostta04g03900" " Pyridine nucleotide-disulphide oxidoreductase, FAD/NADP-binding domain"
"ostta04g04580" " WD40/YVTN repeat-like-containing domain"
"ostta04g04590" " Peptidase M12B, ADAM/reprolysin"
"ostta04g04600" " Peptidase M12B, ADAM/reprolysin"
"ostta04g04630" " unnamed product"
"ostta04g04770" " Myb domain, plants"
"ostta04g05460" " HCNGP-like"
"ostta04g05470" " SNF2-related"
"ostta04g05510" " Ankyrin repeat"
"ostta04g05580" " unnamed product"
"ostta05g00140" " unnamed product"
"ostta05g00320" " unnamed product"
"ostta05g00790" " unnamed product"
"ostta05g00870" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta05g00940" " Thioredoxin, conserved site"
"ostta05g01060" " Phosphoesterase domain"
"ostta05g01070" " Uroporphyrinogen decarboxylase URO-D"
"ostta05g01140" " Membrane insertase YidC/Oxa1, C-terminal"
"ostta05g01230" " Porphobilinogen deaminase, C-terminal"
"ostta05g01640" " Nucleotide-binding, alpha-beta plait"
"ostta05g01660" " Nucleotide-binding, alpha-beta plait"
"ostta05g01780" " Chlorophyll A-B binding protein, plant"
"ostta05g02780" " unnamed product"
"ostta05g03520" " Peptidyl-prolyl cis-trans isomerase, PpiC-type, conserved site"
"ostta05g03530" " Squalene/phytoene synthase"
"ostta05g03830" " Chlorophyll A-B binding protein, plant"
"ostta05g04530" " Uncharacterised protein family Ycf54"
"ostta05g04540" " unnamed product"
"ostta05g04560" " Photosystem II PsbR"
"ostta05g04790" " Rubredoxin-type fold"
"ostta05g04900" " unnamed product"
"ostta05g04920" " Protein kinase-like domain"
"ostta05g04960" " von Willebrand factor, type A"
"ostta06g00010" " unnamed product"
"ostta06g01070" " RNA polymerase sigma-70 region 2"
"ostta06g01220" " Myb domain, plants"
"ostta06g01230" " Ubiquitin-conjugating enzyme/RWD-like"
"ostta06g01240" " unnamed product"
"ostta06g01340" " UbiA prenyltransferase family"
"ostta06g01350" " 2Fe-2S ferredoxin-type domain"
"ostta06g01840" " Heavy-metal-associated, conserved site"
"ostta06g01880" " Carbohydrate binding module family 20"
"ostta06g02930" " Histidine phosphatase superfamily, clade-1"
"ostta06g02940" " Glycosyl transferase, family 1"
"ostta06g03050" " unnamed product"
"ostta06g03130" " unnamed product"
"ostta06g03620" " ABC transporter, conserved site"
"ostta06g03680" " Rubredoxin-type fold"
"ostta06g03720" " unnamed product"
"ostta06g03840" " Rhodanese-like domain"
"ostta06g03990" " DNA mismatch repair protein Pms1/Mlh2"
"ostta06g04120" " HAD hydrolase, subfamily IA"
"ostta06g04130" " unnamed product"
"ostta06g04230" " Bromodomain"
"ostta06g04520" " Tetratricopeptide repeat"
"ostta07g00360" " Glyoxalase-like domain"
"ostta07g00380" " Cytochrome P450, E-class, group I"
"ostta07g00720" " Zinc finger, GATA-type"
"ostta07g00730" " Protein kinase-like domain"
"ostta07g00920" " Nucleotide-binding, alpha-beta plait"
"ostta07g01290" " unnamed product"
"ostta07g01300" " Armadillo-like helical"
"ostta07g01350" " ATPase, F1 complex, OSCP/delta subunit"
"ostta07g01740" " Short-chain dehydrogenase/reductase SDR"
"ostta07g02090" " Uncharacterised protein family Ycf49"
"ostta07g02420" " Photosystem II cytochrome b559, alpha subunit"
"ostta07g02530" " Chlorophyll A-B binding protein, plant"
"ostta07g02960" " EGF-like, conserved site"
"ostta07g02970" " Calycin-like"
"ostta07g03360" " unnamed product"
"ostta07g03430" " unnamed product"
"ostta07g03440" " Nucleotidyl transferase"
"ostta07g03800" " Domain of unknown function DUF1995"
"ostta07g03820" " Polyadenylate-binding protein/Hyperplastic disc protein"
"ostta07g04060" " Histidine phosphatase superfamily, clade-1"
"ostta07g04070" " unnamed product"
"ostta07g04110" " unnamed product"
"ostta07g04160" " unnamed product"
"ostta07g04370" " Transketolase-like, C-terminal"
"ostta07g04390" " Signal-recognition particle receptor FtsY"
"ostta08g00070" " Choline/Ethanolamine kinase"
"ostta08g00100" " unnamed product"
"ostta08g00370" " unnamed product"
"ostta08g00680" " Bacterial surface protein 26-residue repeat"
"ostta08g00690" " unnamed product"
"ostta08g01520" " BCCT transporter family"
"ostta08g02150" " Helicase-associated"
"ostta08g02240" " Branched-chain amino acid aminotransferase II"
"ostta08g02340" " unnamed product"
"ostta08g03800" " Protein of unknown function DUF1997"
"ostta08g04010" " unnamed product"
"ostta08g04020" " Chlorophyll a/b binding protein domain"
"ostta08g04180" " unnamed product"
"ostta08g04240" " Signal transduction histidine kinase, phosphotransfer Hpt domain"
"ostta09g00110" " Thioredoxin-like fold"
"ostta09g00370" " Ribosomal protein Rsm22, bacterial-type"
"ostta09g00380" " unnamed product"
"ostta09g00500" " Haem peroxidase, plant/fungal/bacterial"
"ostta09g00960" " 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type"
"ostta09g01010" " unnamed product"
"ostta09g01080" " ATPase, F1 complex, gamma subunit conserved site"
"ostta09g01160" " unnamed product"
"ostta09g01520" " P-loop containing nucleoside triphosphate hydrolase"
"ostta09g01890" " Ferric reductase transmembrane component-like domain"
"ostta09g03160" " unnamed product"
"ostta09g03380" " unnamed product"
"ostta09g03850" " GYF"
"ostta09g04150" " P-loop containing nucleoside triphosphate hydrolase"
"ostta09g04220" " CRC domain n/a  CRC domain"
"ostta09g04240" " Blue type 1 copper protein"
"ostta09g04400" " Heat shock protein DnaJ, cysteine-rich domain"
"ostta09g04420" " Chlorophyll A-B binding protein, plant"
"ostta10g00190" " Zinc finger, RING-CH-type"
"ostta10g00270" " Bromodomain"
"ostta10g01190" " Transcription factor DP"
"ostta10g01610" " Serine/threonine-protein kinase, active site"
"ostta10g01860" " Nucleotide-binding, alpha-beta plait"
"ostta10g02220" " LPPG:FO 2-phospho-L-lactate transferase CofD/UPF0052"
"ostta10g02580" " Cytochrome b5-like heme/steroid binding domain"
"ostta10g02690" " P-loop containing nucleoside triphosphate hydrolase"
"ostta10g02780" " GTP-binding protein TrmE/Glycine cleavage system T protein, domain 1"
"ostta10g03200" " Pyridoxal phosphate-dependent transferase, major region, subdomain 1"
"ostta10g03410" " Signal transduction response regulator, receiver domain"
"ostta10g03490" " Serine/threonine-protein kinase, active site"
"ostta11g00310" " P-loop containing nucleoside triphosphate hydrolase"
"ostta11g00320" " unnamed product"
"ostta11g00520" " Sec-independent periplasmic protein translocase, conserved site"
"ostta11g00570" " Tetratricopeptide repeat"
"ostta11g00690" " Tetrapyrrole biosynthesis, glutamyl-tRNA reductase, N-terminal"
"ostta11g00700" " Peptidase M50"
"ostta11g00720" " UAA transporter"
"ostta11g01310" " von Willebrand factor, type A"
"ostta11g01470" " unnamed product"
"ostta11g01770" " Ankyrin repeat-containing domain"
"ostta11g02070" " UAA transporter"
"ostta11g02260" " Tetratricopeptide-like helical"
"ostta11g02510" " Nucleoside diphosphate kinase"
"ostta11g02520" " Protein of unknown function DUF833"
"ostta11g02780" " Phosphoglucose isomerase, C-terminal"
"ostta12g00390" " unnamed product"
"ostta12g00420" " Photosystem II PsbM"
"ostta12g00520" " unnamed product"
"ostta12g00655" " DNA glycosylase/AP lyase, H2TH DNA-binding"
"ostta12g00660" " unnamed product"
"ostta12g00670" " unnamed product"
"ostta12g01280" " Polyprenyl synthetase"
"ostta12g01380" " Radical SAM"
"ostta12g01390" " Pheophorbide a oxygenase"
"ostta12g01520" " DNA recombination and repair protein Rad51, C-terminal"
"ostta12g01600" " Alpha/beta hydrolase fold-1"
"ostta12g01900" " Carotene isomerase"
"ostta12g01970" " Photosystem II Pbs27"
"ostta12g02130" " Uncharacterised protein family Cys-rich"
"ostta12g02180" " TPM domain"
"ostta12g02300" " RelA/SpoT"
"ostta12g02440" " von Willebrand factor, type A"
"ostta12g02460" " Uroporphyrinogen decarboxylase URO-D"
"ostta12g03170" " Methyltransferase type 11"
"ostta13g00060" " G-protein beta WD-40 repeat"
"ostta13g00220" " Vacuolar sorting protein 9"
"ostta13g01200" " Carbohydrate binding module family 25"
"ostta13g01550" " Cytochrome b5-like heme/steroid binding domain"
"ostta13g01880" " Serine/threonine-protein kinase, active site"
"ostta13g02050" " unnamed product"
"ostta14g00065" " Chlorophyll A-B binding protein, plant n/a  Chlorophyll A-B binding protein, pl"
"ostta14g00150" " Photosystem II PsbO, manganese-stabilising"
"ostta14g00520" " Peptide methionine sulphoxide reductase MsrA n/a  Peptide methionine sulphoxide"
"ostta14g00550" " unnamed product"
"ostta14g00560" " unnamed product"
"ostta14g01730" " WD40 repeat"
"ostta14g02330" " Polycomb protein, VEFS-Box"
"ostta14g02390" " GPI inositol-deacylase PGAP1-like"
"ostta14g02420" " Serine hydroxymethyltransferase, pyridoxal phosphate binding site n/a  Serine hnsferase, pyridoxal phosphate binding site"
"ostta14g02540" " Cation/H+ exchanger"
"ostta14g02630" " Mog1/PsbP, alpha/beta/alpha sandwich   Mog1/PsbP, alpha/beta/alpha sandwich   M/beta/alpha sandwich   Mog1/PsbP, alpha/beta/alpha sandwich   Mog1/PsbP, alpha/beta/alpha sandwich   Mog1/PsbP, alpha/beta/alpha sandwich n/a  Mog1/PsbP, alpha/beta/alpha sandwich   Mog1/PsbP, alpha/beta/alpha sandwich"
"ostta14g03080" " Tetratricopeptide-like helical"
"ostta15g00820" " Abscisic acid G-protein coupled receptor-like domain"
"ostta15g00840" " DNA-directed RNA polymerase delta subunit/Asxl"
"ostta15g00900" " NADP-binding domain n/a  NADP-binding domain"
"ostta15g01150" " unnamed product"
"ostta15g01265" " Regulator of nonsense-mediated decay, UPF3 n/a  Regulator of nonsense-mediated"
"ostta15g01390" " unnamed product"
"ostta15g02050" " unnamed product"
"ostta15g02510" " Lipopolysaccharide-modifying protein"
"ostta15g02670" " Photosystem I PsaD"
"ostta15g02680" " Rubrerythrin"
"ostta15g02900" " Glycine cleavage H-protein, subgroup n/a  Glycine cleavage H-protein, subgroup"
"ostta16g00320" " Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain"
"ostta16g00340" " Lipopolysaccharide-modifying protein"
"ostta16g00450" " Chlorophyll A-B binding protein, plant"
"ostta16g00670" " Monooxygenase, FAD-binding"
"ostta16g00780" " Cleavage/polyadenylation specificity factor, A subunit, C-terminal"
"ostta16g01020" " Mitochondrial substrate/solute carrier"
"ostta16g01340" " Signal transduction response regulator, receiver domain"
"ostta16g01620" " Photosystem II PsbQ, oxygen evolving complex"
"ostta16g02020" " Asparagine-linked glycosylation protein 1-like n/a  Asparagine-linked glycosylalike"
"ostta16g02100" " Retinoblastoma-associated protein, A-box n/a  Retinoblastoma-associated protein"
"ostta16g02310" " Chlorophyll A-B binding protein, plant"
"ostta16g02540" " Serine/threonine-protein kinase, active site"
"ostta16g02690" " Rieske [2Fe-2S] iron-sulphur domain n/a  Rieske [2Fe-2S] iron-sulphur domain"
"ostta17g00080" " unnamed product"
"ostta17g00130" " Uroporphyrinogen decarboxylase URO-D"
"ostta17g00165" "  n/a  hypothetical protein"
"ostta17g00500" " Pentatricopeptide repeat"
"ostta17g00570" " Photosystem I PsaG/PsaK protein n/a  Photosystem I PsaG/PsaK protein"
"ostta17g00870" " Nucleotide-diphospho-sugar transferase"
"ostta17g00880" " unnamed product"
"ostta17g01460" " unnamed product"
"ostta17g01790" " unnamed product"
"ostta17g02150" " Mitochondrial substrate/solute carrier n/a  Mitochondrial substrate/solute carr"
"ostta17g02180" " unnamed product"
"ostta17g02230" " Protein of unknown function DUF3411, plant"
"ostta17g02380" "  n/a  unnamed product"
"ostta18g00130" " unnamed product"
"ostta18g00940" " Formate-tetrahydrofolate ligase, FTHFS"
"ostta18g01090" " Pyridoxal phosphate-dependent transferase, major region, subdomain 2"
"ostta18g01230" " Chlorophyll A-B binding protein, plant n/a  Chlorophyll A-B binding protein, pl"
"ostta18g01550" " NmrA-like"
"ostta18g01570" " Cyclin A/B/D/E"
"ostta18g01650" " unnamed product"
"ostta18g01720" " Serine/threonine-protein kinase, active site"
"ostta18g01740" " Ribosomal protein S21"
"ostta18g01880" " Ribulose bisphosphate carboxylase, small chain"
"ostta18g01890" " Ribulose bisphosphate carboxylase, small chain"
"ostta18g01920" " unnamed product"
"ostta19g00030" " Bacterial surface protein 26-residue repeat n/a  Bacterial surface protein 26-r"
"ostta19g00200" " unnamed product"
"ostta20g00050" " Thioredoxin-like fold"
"ostta20g00080" " Tetrapyrrole biosynthesis, glutamate-1-semialdehyde aminotransferase"
"ostta20g00170" " Phytanoyl-CoA dioxygenase"
"ostta20g00320" " CDP-diacylglycerol-inositol 3-phosphatidyltransferase, eukaryote"
"ostta20g00530" " unnamed product"
